BallNose6;CenterDrill3;CenterDrill8x90;Countersink5x60;Countersink3x90;Countersink5x90;Countersink6x90;Countersink10x90;Countersink16x90;Countersink25x90;Drill1;Drill3;Drill35;Drill5;Drill65;Drill7;Drill125;Drill15;Drill20;FlatEnd4;FlatEnd5;Tap4;Tap5;Tap6;BallNose5Sum;CenterDrillx60Sum;CenterDrillx90Sum;DrillSum;FlatEndSum;FlatEndSum2;TapSum
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.266180558;-1.359971667;-1.238861885;-1.419507595;-1.017442957;-1.248409206
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.201315146;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.258938058;-1.359971667;-1.235878319;-1.419507595;-1.017442957;-1.241525677
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.187080486;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.253707363;-1.350802482;-1.22907579;-1.418059209;-1.000818442;-1.234887989
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.187080486;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.244855419;-1.350802482;-1.225018141;-1.416805038;-1.000818442;-1.226037737
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.187080486;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.236003474;-1.350802482;-1.220960493;-1.415550867;-1.000818442;-1.217187486
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.18248866;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.23439403;-1.348182714;-1.21809627;-1.413480333;-1.000818442;-1.217187486
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.157233617;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.208240558;-1.329844343;-1.183367569;-1.404273205;-1.000818442;-1.187686648
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.157233617;-0.452564862;-0.791251327;-1.235461972;-1.489189417;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.199790975;-1.327224575;-1.170955937;-1.403275794;-1.000818442;-1.174902952
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.148049965;-0.452564862;-0.791251327;-1.235461972;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.178465836;-1.32198504;-1.133601699;-1.400563361;-1.000818442;-1.146877156
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.138177539;-0.452564862;-0.791251327;-1.235461972;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.153519447;-1.302336785;-1.104243416;-1.365647378;-1.000818442;-1.106559345
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.138177539;-0.452564862;-0.791251327;-1.235461972;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.153519447;-1.294477483;-1.100543795;-1.364863932;-1.000818442;-1.106559345
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.138177539;-0.452564862;-0.791251327;-1.235461972;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.153519447;-1.286618181;-1.096844173;-1.346792022;-1.000818442;-1.106559345
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.097310287;-0.452564862;-0.791251327;-1.209473929;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.134608475;-1.260420507;-1.07524316;-1.327847789;-1.000818442;-1.077304347
-1.165226805;-0.215391292;-1.008337264;-0.261835673;-1.447719037;-1.097310287;-0.452564862;-0.791251327;-1.209473929;-0.218364465;-0.673332166;0.131558526;-0.594384903;-1.011071259;-1.192547096;-0.564211811;-1.531224274;-0.754221572;-0.828031139;-0.615511648;-0.722801844;-0.280631606;-0.164804315;-0.911204561;-0.261835673;-1.134206114;-1.260420507;-1.07524316;-1.326959006;-1.000818442;-1.076566826
